temperature,precipitation,vent,humidite,condition,activite
18.2,0.4,16.7,93.6,1,Balade à vélo
7.6,3.8,32.5,80.2,2,Sport en salle
16.5,0.1,0.7,76.1,1,Balade à vélo
14.0,6.9,37.5,91.5,3,Cinéma
18.7,0.4,1.8,70.9,1,Balade en ville
18.2,1.3,12.8,93.7,1,Randonnée en forêt
29.6,0.0,3.9,47.9,0,Pique-nique au parc
33.2,0.0,12.0,35.6,0,Barbecue
26.5,0.0,12.3,53.1,0,Barbecue
8.0,8.7,41.6,90.4,3,Sport en salle
34.8,0.0,8.3,37.0,0,Barbecue
30.3,0.0,5.6,36.8,0,Pique-nique au parc
-0.0,12.2,59.8,90.1,3,Sport en salle
22.4,0.0,10.8,62.4,0,Pique-nique au parc
27.6,0.0,11.4,33.0,0,Pique-nique au parc
23.1,1.8,4.7,89.1,1,Balade en ville
21.2,0.0,13.9,47.0,0,Pique-nique au parc
5.0,4.7,17.0,72.5,2,Sport en salle
15.6,1.9,12.8,92.9,1,Balade en ville
6.0,6.8,21.4,88.5,3,Cinéma
1.0,4.8,29.2,74.7,2,Sport en salle
24.2,1.1,24.8,70.4,1,Balade en ville
1.9,7.1,28.6,73.2,3,Musée / Expo
21.6,2.2,5.2,75.7,1,Balade en ville
-4.9,12.2,65.2,86.4,3,Sport en salle
12.5,0.3,3.1,87.4,1,Balade en ville
12.9,1.8,11.8,71.7,1,Balade en ville
17.9,0.2,11.4,91.5,1,Balade à vélo
22.5,0.1,0.6,82.0,1,Balade à vélo
22.8,8.7,57.0,85.8,3,Cinéma
10.4,1.0,16.1,72.3,1,Randonnée en forêt
9.5,3.0,14.5,87.1,2,Musée / Expo
-3.5,1.0,10.8,70.7,2,Musée / Expo
-3.0,12.0,24.3,88.4,3,Cinéma
26.5,0.0,4.7,60.1,0,Barbecue
23.3,1.1,4.5,85.1,1,Balade en ville
-0.7,4.1,14.4,88.5,2,Musée / Expo
24.9,0.1,9.4,77.6,1,Balade à vélo
10.3,1.6,19.2,78.4,1,Balade en ville
26.9,0.0,14.6,36.9,0,Pique-nique au parc
10.0,4.9,23.3,93.7,2,Musée / Expo
6.7,3.4,32.1,74.1,2,Musée / Expo
17.4,2.0,13.0,80.8,1,Balade en ville
